url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,40,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1,20,5
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,15,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,8,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example/sct3,8,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/README.md,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/edit/main/BingClaw_fortfile_display_example/README.md,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/upload,5,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/edit/main/README.md,4,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/upload/main/BingClaw_fortfile_display_example,3,1
