url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,30,7
/norwegian-geotechnical-institute/BingCLAW_5.6.1,24,10
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,22,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,13,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/storegga_ini.tt3,9,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw5.6.1_singlesource.tar,9,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github,7,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,7,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,6,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/releases/tag/v1.0.1,4,3
