time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-11 00:00:00+00:00,1,1,2,2
2026-02-12 00:00:00+00:00,12,8,0,0
2026-02-13 00:00:00+00:00,16,8,0,0
2026-02-14 00:00:00+00:00,16,8,0,0
2026-02-15 00:00:00+00:00,18,9,1,1
2026-02-16 00:00:00+00:00,21,8,0,0
2026-02-17 00:00:00+00:00,8,4,0,0
2026-02-18 00:00:00+00:00,7,3,2,1
2026-02-19 00:00:00+00:00,16,7,2,2
2026-02-20 00:00:00+00:00,4,4,0,0
2026-02-21 00:00:00+00:00,16,8,12,9
2026-02-22 00:00:00+00:00,14,9,6,4
2026-02-23 00:00:00+00:00,16,8,2,2
2026-02-24 00:00:00+00:00,2,2,3,1
