url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,25,8
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,12,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,7,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/edit/main/README.md,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/releases/tag/v1.0.1,5,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,4,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/releases,4,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/PaleoNorthAtlantic.tt3.gz,3,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw5.6.1_singlesource.tar,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/.github/workflows/github-repo-stats.yml,2,1
