url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,14,11
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,14,5
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/sct3/io.py,14,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,9,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/.github/workflows/github-repo-stats.yml,7,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/storegga_ini.tt3,7,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,7,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,6,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/README.md,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/sct3/Grid2D.py,4,1
