url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,52,7
/norwegian-geotechnical-institute/BingCLAW_5.6.1,37,14
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,28,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/storegga_ini.tt3,23,5
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,18,6
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,15,5
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw5.6.1_singlesource.tar,14,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/PaleoNorthAtlantic.tt3.gz,12,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,9,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/README.md,4,2
