url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,30,15
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,16,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,15,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/storegga_ini.tt3,12,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,11,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,9,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/PaleoNorthAtlantic.tt3.gz,6,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw5.6.1_singlesource.tar,5,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/one_fortfile_2_png.sh,4,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/.github/workflows/github-repo-stats.yml,4,2
