url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,18,6
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,8,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/edit/main/README.md,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/releases/tag/v1.0.1,4,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/releases,4,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/releases/new,1,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/upload,1,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/upload/main,1,1
