url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,46,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,31,6
/norwegian-geotechnical-institute/BingCLAW_5.6.1,28,9
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,12,6
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,11,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example/sct3,8,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github,7,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/README.md,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/edit/main/BingClaw_fortfile_display_example/README.md,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw5.6.1_singlesource.tar,5,1
