url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,45,7
/norwegian-geotechnical-institute/BingCLAW_5.6.1,14,10
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/make_all_png_files.sh,10,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/make_animated_gif_file.py,8,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,6,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example/sct3,6,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/gmt6_one_fortfile_2_png.sh,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/one_fortfile_2_png.sh,6,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,5,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,5,1
