time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-22 00:00:00+00:00,23,15,5,1
2026-01-23 00:00:00+00:00,7,7,1,1
2026-01-24 00:00:00+00:00,18,10,0,0
2026-01-25 00:00:00+00:00,5,4,0,0
2026-01-26 00:00:00+00:00,4,4,0,0
2026-01-27 00:00:00+00:00,17,9,1,1
2026-01-28 00:00:00+00:00,3,3,0,0
2026-01-29 00:00:00+00:00,13,5,1,1
2026-01-30 00:00:00+00:00,12,4,1,1
2026-01-31 00:00:00+00:00,9,5,5,2
2026-02-01 00:00:00+00:00,20,11,0,0
2026-02-02 00:00:00+00:00,19,7,2,1
2026-02-03 00:00:00+00:00,10,6,1,1
2026-02-04 00:00:00+00:00,13,8,0,0
