url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,23,9
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,5,5
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,4,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,2,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,2,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/edit/main/README.md,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/issues,1,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/issues/2,1,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/releases/tag/v1.0.2,1,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,1,1
