time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,11,4,4,1
2026-05-04 00:00:00+00:00,20,9,3,1
2026-05-05 00:00:00+00:00,37,12,0,0
2026-05-06 00:00:00+00:00,13,6,0,0
2026-05-07 00:00:00+00:00,34,10,0,0
2026-05-08 00:00:00+00:00,15,7,0,0
2026-05-09 00:00:00+00:00,22,10,6,3
2026-05-10 00:00:00+00:00,18,8,23,4
2026-05-11 00:00:00+00:00,13,8,0,0
2026-05-12 00:00:00+00:00,24,9,1,1
2026-05-13 00:00:00+00:00,17,6,2,2
2026-05-14 00:00:00+00:00,21,9,2,1
2026-05-15 00:00:00+00:00,89,32,27,5
2026-05-16 00:00:00+00:00,15,7,0,0
