url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,34,20
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,6,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw5.6.1_singlesource.tar,4,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/issues,4,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/edit/main/README.md,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/upload,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/upload/main,2,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/issues/3,1,1
