url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,58,22
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,16,5
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,13,6
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,12,6
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/storegga_ini.tt3,12,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github/workflows,9,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/PaleoNorthAtlantic.tt3.gz,5,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main,5,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/.github,5,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/example_q0179.png,4,2
