time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,21,10,23,1
2026-06-05 00:00:00+00:00,14,7,4,2
2026-06-06 00:00:00+00:00,19,8,1,1
2026-06-07 00:00:00+00:00,22,10,4,2
2026-06-08 00:00:00+00:00,25,10,6,2
2026-06-09 00:00:00+00:00,17,7,6,3
2026-06-10 00:00:00+00:00,23,11,1,1
2026-06-11 00:00:00+00:00,6,2,2,1
2026-06-12 00:00:00+00:00,24,10,1,1
2026-06-13 00:00:00+00:00,24,9,0,0
2026-06-14 00:00:00+00:00,32,10,2,2
2026-06-15 00:00:00+00:00,24,8,1,1
2026-06-16 00:00:00+00:00,34,12,0,0
2026-06-17 00:00:00+00:00,13,6,10,1
