url_path,views_total,views_unique
/norwegian-geotechnical-institute/BingCLAW_5.6.1,44,21
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/README.md,11,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/storegga_ini.tt3,8,3
/norwegian-geotechnical-institute/BingCLAW_5.6.1/tree/main/BingClaw_fortfile_display_example,7,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/setrun.py,6,5
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/PaleoNorthAtlantic.tt3.gz,4,4
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/v1.0.2/README.md,4,1
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw5.6.1_singlesource.tar,2,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/claw2file3.py,2,2
/norwegian-geotechnical-institute/BingCLAW_5.6.1/blob/main/BingClaw_fortfile_display_example/README.md,2,2
