time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,5,4,2,1
2025-08-25 00:00:00+00:00,13,9,9,1
2025-08-26 00:00:00+00:00,2,2,11,2
2025-08-27 00:00:00+00:00,4,4,28,4
2025-08-28 00:00:00+00:00,19,12,92,6
2025-08-29 00:00:00+00:00,4,4,9,3
2025-08-30 00:00:00+00:00,7,7,1,1
2025-08-31 00:00:00+00:00,6,5,3,1
2025-09-01 00:00:00+00:00,1,1,5,3
2025-09-02 00:00:00+00:00,11,8,20,5
2025-09-03 00:00:00+00:00,6,4,3,1
2025-09-04 00:00:00+00:00,3,3,8,7
2025-09-05 00:00:00+00:00,1,1,14,4
2025-09-06 00:00:00+00:00,1,1,1,1
