time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,21,10,1,1
2026-08-01 00:00:00+00:00,20,8,0,0
2026-08-02 00:00:00+00:00,5,4,0,0
2026-08-03 00:00:00+00:00,16,7,1,1
2026-08-04 00:00:00+00:00,20,8,1,1
2026-08-05 00:00:00+00:00,18,7,0,0
2026-08-06 00:00:00+00:00,10,5,1,1
2026-08-07 00:00:00+00:00,20,8,0,0
2026-08-08 00:00:00+00:00,14,6,0,0
2026-08-09 00:00:00+00:00,18,6,0,0
2026-08-10 00:00:00+00:00,4,4,2,2
2026-08-11 00:00:00+00:00,12,5,5,1
2026-08-12 00:00:00+00:00,17,7,1,1
2026-08-13 00:00:00+00:00,1,1,3,1
