time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-17 00:00:00+00:00,5,2,66.0,7.0
2024-05-18 00:00:00+00:00,6,5,32.0,2.0
2024-05-19 00:00:00+00:00,9,6,7.0,1.0
2024-05-20 00:00:00+00:00,1,1,10.0,2.0
2024-05-21 00:00:00+00:00,7,4,25.0,3.0
2024-05-22 00:00:00+00:00,1,1,46.0,2.0
2024-05-23 00:00:00+00:00,5,2,4.0,4.0
2024-05-24 00:00:00+00:00,2,2,3.0,1.0
2024-05-25 00:00:00+00:00,1,1,,
2024-05-26 00:00:00+00:00,7,3,,
2024-05-27 00:00:00+00:00,1,1,7.0,2.0
2024-05-28 00:00:00+00:00,5,2,,
2024-05-29 00:00:00+00:00,1,1,1.0,1.0
2024-05-30 00:00:00+00:00,5,5,9.0,4.0
